User ID,candidate_field,label,hard_skill,soft_skill
19,accounting,0,"['act', 'application', 'business', 'business process', 'business process management', 'data', 'financial management', 'international laws', 'legislation', 'payroll processing', 'process management', 'resource planning', 'resourcing', 'scheme', 'security', 'service', 'service delivery', 'tax', 'trading']","['leadership', 'management', 'people management', 'planning', 'quality assurance', 'relationship management', 'research', 'team leadership', 'timelines', 'training and development']"
20,accounting,0,"['accounting systems', 'accounts payable', 'accounts receivable', 'business', 'cash management', 'credit control', 'data', 'finance', 'financial accounting', 'financial statements', 'generally accepted accounting principles', 'legislation', 'manufacturing', 'petty cash', 'regulatory requirements', 'risk management']","['business operations', 'information technology', 'leadership', 'management', 'operations', 'planning', 'reliability', 'time management', 'writing']"
21,accounting,0,"['booking', 'business', 'expense reports', 'finance', 'forecasting', 'process management', 'tracking', 'excel']","['agenda', 'communications', 'diplomacy', 'leadership', 'management', 'meeting', 'planning', 'problem solving', 'sourcing']"
22,accounting,0,"['accounting records', 'accounts receivable', 'act', 'application', 'credit control', 'data', 'financial management', 'higher education', 'management systems', 'reconciliation', 'registration', 'security', 'service', 'standard', 'databases', 'excel']","['customer service', 'management', 'personal integrity', 'reliability', 'sorting', 'spreadsheets', 'written communication']"
23,accounting,0,"['automotive', 'automotive industry', 'automotive services', 'budgeting', 'business', 'c', 'cash management', 'digital', 'finance', 'financial planning', 'financial statements', 'forecasting', 'investing', 'refurbishment', 'remuneration', 'scale', 'scheme', 'standard', 'tax', 'tax compliance', 'treasury', 'vehicle', 'excel']","['decision making', 'english', 'infrastructure', 'management', 'planning', 'written communication']"
24,accounting,0,"['advising', 'business', 'development planning', 'employee benefits', 'legislation', 'operational excellence', 'payroll processing', 'payroll systems', 'process improvements', 'service', 'tax', 'excel']","['management', 'microsoft office', 'microsoft outlook', 'people management', 'planning', 'teamwork']"
25,accounting,0,"['account management', 'accounting software', 'accounts payable', 'bookkeeping', 'business', 'inventory', 'legislation', 'manufacturing', 'petty cash', 'private cloud', 'profit and loss', 'receivables', 'reconciliation', 'resource utilization', 'scale', 'tax', 'xero', 'excel']","['business administration', 'hospitality', 'management', 'operations', 'planning']"
26,accounting,0,"['acting', 'balance sheet', 'business', 'cash management', 'digital', 'enforcement', 'eyes', 'finance', 'journals', 'marketing effectiveness', 'media buying', 'media planning', 'mobile', 'quality control', 'scheme', 'thought leadership', 'excel']","['communications', 'leadership', 'management', 'microsoft excel', 'planning']"
27,accounting,0,"['application', 'calculations', 'finance', 'internal controls', 'legislation', 'maternity', 'numeracy', 'payroll systems', 'service', 'standard', 'system', 'tax', 'excel']","['customer service', 'filing', 'management', 'operations', 'spreadsheets']"
28,accounting,0,"['act', 'application', 'collections', 'credit control', 'data', 'hire purchase', 'legislation', 'react', 'relationship building', 'risk management', 'sales', 'security', 'service']","['customer service', 'listening skills', 'management', 'microsoft office', 'written communication']"
29,accounting,0,"['advising', 'advisory work', 'bullet', 'business', 'calculations', 'corporate tax', 'cta', 'global mobility', 'international taxation', 'mobile', 'mobility', 'permanent establishment', 'remuneration', 'security', 'service', 'social security', 'standard', 'tax', 'tax accounting', 'databases']","['computer literacy', 'diplomacy', 'english', 'english language', 'literacy', 'negotiation', 'non-verbal communication', 'operations', 'problem solving', 'writing']"
30,accounting,0,"['acting', 'balance sheet', 'business', 'business case', 'business partnering', 'commercial finance', 'finance', 'financial accounting', 'financial management', 'forecasting', 'pbt', 'performance analysis', 'procurement', 'registration', 'track', 'tracking', 'variance analysis']","['delivery focused', 'enthusiasm', 'innovation', 'management', 'numbers', 'operations', 'planning', 'self starter']"
31,accounting,0,"['auditing', 'business', 'data', 'data analysis', 'draft', 'less', 'networking', 'relationship building', 'risk control', 'risk management', 'tests', 'track']","['adaptability', 'coordinating', 'governance', 'management', 'negotiation', 'planning', 'proactivity', 'verbal communication skills']"
32,accounting,0,"['audit planning', 'draft', 'financial services', 'iia', 'manufacturing', 'operational systems', 'service', 'technical audit']","['enthusiasm', 'governance', 'leadership', 'management', 'planning', 'self-motivation', 'teamwork', 'training and development']"
33,accounting,0,"['business', 'ethics and compliance', 'project management']","['consulting', 'governance', 'influencing skills', 'leadership', 'management', 'presentations', 'quality assurance', 'writing']"
34,accounting,0,"['business', 'closing', 'consolidation', 'data', 'economics', 'erm', 'finance', 'financial accounting', 'general ledger', 'mitigation', 'process improvements', 'project management', 'sap project management', 'service', 'service level', 'excel']","['consulting', 'english', 'english language', 'integration', 'management', 'meeting', 'negotiation']"
